"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","sugiu"
"Cmdline:","dstat -tcmndr --output perf.csv 1 600",,,,"Date:","02 May 2025 20:12:44 JST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ"


"Host:","raspberrypi",,,,"User:","sugiu"
"Cmdline:","dstat -tcmndr --output perf.csv 1 600",,,,"Date:","02 May 2025 20:18:53 JST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ"


"Host:","raspberrypi",,,,"User:","sugiu"
"Cmdline:","dstat -tcmndr --output perf.csv 1 600",,,,"Date:","02 May 2025 20:19:05 JST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ"


"Host:","raspberrypi",,,,"User:","sugiu"
"Cmdline:","dstat -tcmndr --output perf.csv 1 600",,,,"Date:","02 May 2025 20:57:03 JST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ"
02-05 20:57:03,0.797,0.183,98.965,0.055,0,1039302656,1316626432,115859456,1325027328,0,0,11193.419,93290.667,0.241,8.135
02-05 20:57:04,11.765,1.023,87.212,0,0,1039589376,1316339712,115859456,1325027328,3739,145999,0,0,0,0
02-05 20:57:05,12.343,1.511,86.146,0,0,1039589376,1316339712,115859456,1325027328,2546,115548,0,0,0,0
02-05 20:57:06,18.182,2.273,79.293,0.253,0,1039589376,1316339712,115859456,1325027328,11400,124436,0,73728,0,4
02-05 20:57:07,13.098,1.511,85.390,0,0,1039589376,1316339712,115859456,1325027328,2385,141810,0,0,0,0
02-05 20:57:08,13.500,1.500,85,0,0,1039327232,1316601856,115859456,1325027328,2127,150982,0,1941504,0,228
02-05 20:57:09,13.965,1.746,84.289,0,0,1039392768,1316601856,115859456,1324961792,2130,121165,0,0,0,0
02-05 20:57:10,12.944,1.015,86.041,0,0,1039392768,1316601856,115859456,1324961792,3221,143981,0,0,0,0
02-05 20:57:11,14.430,2.278,83.038,0.253,0,1039392768,1316601856,115859456,1324961792,2598,118564,0,253952,0,4
02-05 20:57:12,13.384,1.263,85.354,0,0,1039392768,1316601856,115859456,1324961792,2080,111883,0,0,0,0
02-05 20:57:13,13.033,1.253,85.714,0,0,1039392768,1316601856,115859456,1324961792,3529,149341,0,0,0,0
02-05 20:57:14,13.350,1.763,84.887,0,0,1038835712,1317158912,115859456,1324961792,3687,148995,0,0,0,0
02-05 20:57:15,12.312,1.508,86.181,0,0,1038315520,1317679104,115859456,1324961792,2341,106147,0,0,0,0
02-05 20:57:16,14.573,1.256,84.171,0,0,1037668352,1318326272,115859456,1324961792,4103,151949,0,0,0,0
02-05 20:57:17,12.437,1.777,85.787,0,0,1037488128,1318506496,115859456,1324961792,2898,126484,0,106496,0,6
02-05 20:57:18,12.082,0.771,87.147,0,0,1037488128,1318506496,115859456,1324961792,3061,137875,0,0,0,0
02-05 20:57:19,12.944,1.269,85.787,0,0,1037746176,1318248448,115859456,1324961792,11490,120153,0,0,0,0
02-05 20:57:20,12.245,1.786,85.969,0,0,1037742080,1318252544,115859456,1324961792,3446,153448,0,0,0,0
02-05 20:57:21,13.568,1.256,85.176,0,0,1037742080,1318252544,115859456,1324961792,1662,127737,0,0,0,0
02-05 20:57:22,16.625,1.763,81.612,0,0,1037742080,1318252544,115859456,1324961792,2447,138170,0,0,0,0
02-05 20:57:23,12.121,1.010,85.606,1.263,0,1037742080,1318252544,115859456,1324961792,1610,112057,0,1335296,0,168
02-05 20:57:24,13.065,1.508,85.427,0,0,1037484032,1318510592,115859456,1324961792,2075,152228,0,0,0,0
02-05 20:57:25,11.253,1.279,87.468,0,0,1037484032,1318510592,115859456,1324961792,1610,122476,0,0,0,0
